month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2025-05 May,2025-05-06,5000.0,0.0,1.0070358043914318,False,neutral,0,0.0
2025-05 May,2025-05-07,5000.0,0.0,0.6061374667786223,False,correction,0,0.0
2025-05 May,2025-05-08,5000.0,0.0,0.5550905659658545,False,correction,0,0.0
2025-05 May,2025-05-09,5000.0,0.0,-0.17490739433403402,False,correction,0,0.0
2025-05 May,2025-05-12,5000.0,0.0,1.1557770522628186,False,neutral,0,0.0
2025-05 May,2025-05-13,5000.0,0.0,0.14517003760334823,True,neutral,29,28.999999999999996
2025-05 May,2025-05-14,5007.651447993747,0.1530289598749457,1.2050793350953715,True,neutral,50,29.108484548734655
2025-05 May,2025-05-15,4995.287145532308,-0.24690820816596348,-0.913265863784607,True,neutral,50,28.9330143278139
2025-05 May,2025-05-16,5003.831974773544,0.17105781894597438,-0.4636057697598672,True,neutral,50,29.054372371073466
2025-05 May,2025-05-19,5006.90144970385,0.06134248603431036,-0.3070130891970724,True,neutral,50,29.097865503025293
2025-05 May,2025-05-20,5028.476888660282,0.43091399287895626,0.5423062588580052,True,neutral,30,30.009086914627087
2025-05 May,2025-05-21,5020.078139012834,-0.16702372971800772,0.46714215461558517,True,neutral,50,29.891989901329207
2025-05 May,2025-05-22,4998.735242288851,-0.4251506875584288,-0.06424298350952151,True,neutral,50,29.592652579680074
2025-05 May,2025-05-23,4977.005046192794,-0.434713883468385,-0.8071560976170566,True,neutral,25,29.285245725186908
2025-05 May,2025-05-26,4994.236326766355,0.34621786423025824,-0.5709797917406112,False,neutral,0,29.52922812647401
2025-05 May,2025-05-27,5024.928207991835,0.6145460330138519,-0.5365136251404445,False,neutral,0,0.0
2025-05 May,2025-05-28,5024.928207991835,0.0,-0.08230459105947885,False,neutral,0,0.0
2025-05 May,2025-05-29,5024.928207991835,0.0,0.5855477646453888,False,neutral,0,0.0
2025-05 May,2025-05-30,5024.928207991835,0.0,-0.47860678466841167,False,neutral,0,0.0
2025-06 Jun,2025-06-03,5000.0,0.0,0.30677834047525554,False,neutral,0,0.0
2025-06 Jun,2025-06-04,5000.0,0.0,0.4343183680844298,False,neutral,0,0.0
2025-06 Jun,2025-06-05,5000.0,0.0,0.22780008907286042,False,neutral,0,0.0
2025-06 Jun,2025-06-06,5000.0,0.0,-0.09211988169868235,False,neutral,0,0.0
2025-06 Jun,2025-06-09,5000.0,0.0,0.29070847995242843,False,neutral,0,0.0
2025-06 Jun,2025-06-10,5000.0,0.0,-0.5091312107392887,False,neutral,0,0.0
2025-06 Jun,2025-06-11,5000.0,0.0,0.7543723717586381,False,neutral,0,0.0
2025-06 Jun,2025-06-12,5000.0,0.0,-0.062290977950374415,False,neutral,0,0.0
2025-06 Jun,2025-06-13,5000.0,0.0,-0.7198244488527017,False,correction,0,0.0
2025-06 Jun,2025-06-16,5000.0,0.0,0.24877192637406953,False,correction,0,0.0
2025-06 Jun,2025-06-17,5000.0,0.0,-0.08818226054811973,False,correction,0,0.0
2025-06 Jun,2025-06-18,5000.0,0.0,0.11864471153859579,False,correction,0,0.0
2025-06 Jun,2025-06-19,5000.0,0.0,-0.8227158345185059,False,correction,0,0.0
2025-06 Jun,2025-06-20,5000.0,0.0,0.09245162292539355,False,correction,0,0.0
2025-06 Jun,2025-06-23,5000.0,0.0,0.29267070204572754,False,correction,0,0.0
2025-06 Jun,2025-06-24,5000.0,0.0,1.1957794677003308,True,correction,18,18.0
2025-06 Jun,2025-06-25,5003.706986636547,0.07413973273093788,1.4352334021681123,True,correction,30,18.06074954129183
2025-06 Jun,2025-06-26,5002.717774520199,-0.019769585209328255,-0.3546910581793239,True,correction,30,18.044547288234273
2025-06 Jun,2025-06-27,5010.391375203511,0.1533886385195693,-0.6148473651932829,True,neutral,50,18.17006511126155
2025-06 Jun,2025-06-30,5021.01876298277,0.21210693902782296,0.3651678660437474,True,neutral,50,18.343264712988898
2025-07 Jul,2025-07-01,5000.0,0.0,0.16978825882305593,True,neutral,30,30.0
2025-07 Jul,2025-07-02,4974.038310960845,-0.5192337807831016,0.0234099851829761,True,neutral,50,29.63463927715711
2025-07 Jul,2025-07-03,5005.7160316461595,0.6368612122570338,0.6182796039744698,True,neutral,50,30.079933063062636
2025-07 Jul,2025-07-04,4990.699817631325,-0.2999813397304707,0.356218693832866,True,neutral,50,29.86955481403483
2025-07 Jul,2025-07-07,4987.092528716838,-0.07228022213923158,-0.42760251046970454,True,neutral,50,29.818827706801386
2025-07 Jul,2025-07-08,5025.464968269815,0.7694350833079344,0.8392567793350736,True,neutral,28,27.997409371742314
2025-07 Jul,2025-07-09,5020.376576097385,-0.10125216680560989,-0.17636821040537543,True,neutral,50,27.924431296692752
2025-07 Jul,2025-07-10,5015.327992943097,-0.10056184188103057,0.46657802611163035,True,neutral,50,27.851877816142085
2025-07 Jul,2025-07-11,5019.428981784191,0.08176910556725314,0.1192760941081561,True,bull,90,27.910824490167276
2025-07 Jul,2025-07-14,5031.372234338074,0.23794046289380422,0.07126120882026132,True,bull,90,28.081946639238105
2025-07 Jul,2025-07-15,5029.747545287182,-0.032291171776233085,0.034746524600826056,True,neutral,60,60.00301153937304
2025-07 Jul,2025-07-16,5054.290220601899,0.48795044072764693,-0.29514334680910137,True,neutral,50,60.19722933425835
2025-07 Jul,2025-07-17,5091.5069358976825,0.736339103442929,0.6809988615497753,True,neutral,50,60.48817038619055
2025-07 Jul,2025-07-18,5079.852250126971,-0.2289044465115131,0.5963081836097839,True,neutral,50,60.397518545211646
2025-07 Jul,2025-07-21,5100.593339066732,0.408301027638025,0.6666914702766924,True,bull,90,60.55855835675628
