date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,regime,pos_cap
2026-02-24,5000.0,2500.0,2500.0,0.0,0.0,1.0114569417342567,"{'半导体': 1667, '通信设备': 833}",True,"[{'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 1667}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 833}]",moderate,50
2026-02-25,5024.246449093884,2500.0,2524.2464490938837,24.246449093883808,0.48492898187766365,0.6020549144097442,"{'半导体': 1693, '通信设备': 831}",False,[],moderate,50
2026-02-26,5072.629959641525,2500.0,2572.629959641525,48.383510547641286,0.9630003431930989,-0.19029174266442794,"{'半导体': 1722, '通信设备': 851}",False,[],moderate,50
2026-02-27,5064.633423340981,2500.0,2564.6334233409807,-7.996536300544652,-0.1576408364924231,-0.3432924169334717,"{'半导体': 1714, '通信设备': 851}",False,[],moderate,50
2026-03-02,5016.097635415605,2500.0,2516.0976354156046,-48.53578792537607,-0.9583277577740024,0.38258014238807814,"{'半导体': 1669, '通信设备': 847}",False,[],moderate,50
2026-03-03,4872.884739670885,4872.884739670885,0.0,-143.21289574471936,-2.8550659527354583,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': '跌停(-6.3%)', 'sector': '半导体', 'etf': '512480', 'amount': 1563}, {'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 810}]",defensive,30
2026-03-04,4872.884739670885,4872.884739670885,0.0,0.0,0.0,-1.1441621548247571,{},False,[],defensive,30
2026-03-05,4872.884739670885,4872.884739670885,0.0,0.0,0.0,0.9791586323022239,{},False,[],defensive,30
2026-03-06,4872.884739670885,4872.884739670885,0.0,0.0,0.0,0.27426516214930086,{},False,[],defensive,30
2026-03-09,4872.884739670885,4872.884739670885,0.0,0.0,0.0,-0.9652309578561225,{},False,[],defensive,30
2026-03-10,4872.884739670885,3410.884739670885,1462.0,0.0,0.0,1.2848354062600542,{'电力': 1462},True,"[{'date': '2026-03-10', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1462}]",defensive,30
2026-03-11,4902.090496229743,3410.884739670885,1491.2057565588575,29.2057565588575,0.5993525010162593,0.636182936606744,{'电力': 1491},False,[],moderate,50
2026-03-12,4931.797908295784,3410.884739670885,1520.9131686248986,29.707412066041147,0.6060151702399041,-0.3599960548377523,{'电力': 1521},False,[],moderate,50
2026-03-13,4894.701301456129,3410.884739670885,1483.8165617852435,-37.09660683965523,-0.752192355190684,-0.3929549701763846,{'电力': 1484},False,[],defensive,30
2026-03-16,4862.049389674008,3410.884739670885,1451.1646500031234,-32.65191178212002,-0.667086912380277,0.051808255910068546,{'电力': 1451},False,[],defensive,30
2026-03-17,4850.6483140372375,3395.6483140372375,1455.0,-11.401075636771168,-0.23449115224917216,-0.7303771610291054,"{'电力': 728, '风电设备': 485, '元件': 242}",True,"[{'date': '2026-03-17', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1440}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 728}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 485}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '元件', 'etf': '159997', 'amount': 242}]",defensive,30
2026-03-18,4863.4992668145205,3395.6483140372375,1467.8509527772826,12.850952777282531,0.26493268415468396,0.4505288371448035,"{'电力': 737, '风电设备': 481, '元件': 250}",False,[],defensive,30
2026-03-19,4852.282168600203,3395.6483140372375,1456.6338545629656,-11.217098214317176,-0.23063842716819494,-1.6117571697337185,"{'电力': 739, '风电设备': 475, '元件': 243}",False,[],defensive,30
2026-03-20,4843.958919280038,3395.6483140372375,1448.3106052428,-8.323249320165527,-0.17153267330629607,-0.3541809078315805,"{'电力': 742, '风电设备': 468, '元件': 238}",False,[],cash,10
2026-03-23,4796.958913950578,3617.7204048817866,1179.2385090687912,-47.000005329459526,-0.9702808407889063,-3.2629825413431623,"{'电力': 728, '风电设备': 451}",False,"[{'date': '2026-03-23', 'action': 'sell', 'reason': '跌停(-6.7%)', 'sector': '元件', 'etf': '159997', 'amount': 222}]",cash,10
2026-03-24,4847.7429711644445,4362.7429711644445,485.0,50.784057213866696,1.05867192370932,1.2839528863419103,{'电力': 485},True,"[{'date': '2026-03-24', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 767}, {'date': '2026-03-24', 'action': 'sell', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 463}, {'date': '2026-03-24', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 485}]",cash,10
2026-03-25,4865.811937502961,4362.7429711644445,503.06896633851665,18.068966338516667,0.3727294628860234,1.4021876666304722,{'电力': 503},False,[],cash,10
