date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,port_cumulative
2026-02-24,5000.0,2150.0,2850.0,0.0,0.0,1.0114569417342567,"{'半导体': 1900, '通信设备': 950}",True,"[{'date': '2026-02-24', 'action': 'buy', 'reason': 'rebalance', 'sector': '半导体', 'etf': '512480', 'amount': 1900}, {'date': '2026-02-24', 'action': 'buy', 'reason': 'rebalance', 'sector': '通信设备', 'etf': '515880', 'amount': 950}]",1.0
2026-02-25,5027.634069129686,2150.0,2877.634069129687,27.63406912968704,0.5526813825937227,0.6020549144097442,"{'半导体': 1930, '通信设备': 948}",False,[],1.0055268138259372
2026-02-26,5082.793805175912,2150.0,2932.7938051759124,55.159736046225596,1.0971310816933366,-0.19029174266442794,"{'半导体': 1962, '通信设备': 970}",False,[],1.0165587610351825
2026-02-27,5073.679607110245,2150.0,2923.6796071102453,-9.114198065667209,-0.1793147315239385,-0.3432924169334717,"{'半导体': 1953, '通信设备': 970}",False,[],1.014735921422049
2026-03-02,5018.35743350232,2150.0,2868.357433502321,-55.32217360792424,-1.0903757803389147,0.38258014238807814,"{'半导体': 1902, '通信设备': 966}",False,[],1.0036714867004641
2026-03-03,4855.10186558121,4855.10186558121,0.0,-163.25556792111058,-3.2531673975875752,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': 'crash_stop(-6.3%)', 'sector': '半导体', 'etf': '512480', 'amount': 1781}, {'date': '2026-03-03', 'action': 'sell', 'reason': 'abs_mom_break(-1.9%)', 'sector': '通信设备', 'etf': '515880', 'amount': 924}]",0.9710203731162421
2026-03-04,4855.10186558121,4855.10186558121,0.0,0.0,0.0,-1.1441621548247571,{},False,[],0.9710203731162421
2026-03-05,4855.10186558121,4855.10186558121,0.0,0.0,0.0,0.9791586323022239,{},False,[],0.9710203731162421
2026-03-06,4855.10186558121,4855.10186558121,0.0,0.0,0.0,0.27426516214930086,{},False,[],0.9710203731162421
2026-03-09,4855.10186558121,4855.10186558121,0.0,0.0,0.0,-0.9652309578561225,{},False,[],0.9710203731162421
2026-03-10,4855.10186558121,1699.1018655812104,3156.0,0.0,0.0,1.2848354062600542,{'电力': 3156},True,"[{'date': '2026-03-10', 'action': 'buy', 'reason': 'rebalance', 'sector': '电力', 'etf': '159611', 'amount': 3156}]",0.9710203731162421
2026-03-11,4918.147944719209,1699.1018655812104,3219.0460791379987,63.046079137998824,1.2985531690888896,0.636182936606744,{'电力': 3219},False,[],0.9836295889438418
2026-03-12,4982.276940943851,1699.1018655812104,3283.17507536264,64.12899622464148,1.303925724591104,-0.3599960548377523,{'电力': 3283},False,[],0.9964553881887701
2026-03-13,4902.196988012283,1699.1018655812104,3203.0951224310725,-80.07995293156766,-1.6072963000807627,-0.3929549701763846,{'电力': 3203},False,[],0.9804393976024567
2026-03-16,4831.711739322563,1699.1018655812104,3132.609873741352,-70.4852486897201,-1.4378297906445514,0.051808255910068546,{'电力': 3133},False,[],0.9663423478645126
2026-03-17,4807.100388631968,2355.1003886319677,2452.0,-24.61135069059494,-0.509371254296842,-0.7303771610291054,"{'电力': 1226, '风电设备': 817, '元件': 409}",True,"[{'date': '2026-03-17', 'action': 'sell', 'reason': 'rebalance', 'sector': '电力', 'etf': '159611', 'amount': 3108}, {'date': '2026-03-17', 'action': 'buy', 'reason': 'rebalance', 'sector': '电力', 'etf': '159611', 'amount': 1226}, {'date': '2026-03-17', 'action': 'buy', 'reason': 'rebalance', 'sector': '风电设备', 'etf': '516160', 'amount': 817}, {'date': '2026-03-17', 'action': 'buy', 'reason': 'rebalance', 'sector': '元件', 'etf': '159997', 'amount': 409}]",0.9614200777263935
2026-03-18,4828.789211548147,2355.1003886319677,2473.6888229161796,21.688822916179237,0.4511830659386762,0.4505288371448035,"{'电力': 1240, '风电设备': 811, '元件': 423}",False,[],0.9657578423096295
2026-03-19,4809.850443375033,2355.1003886319677,2454.750054743065,-18.93876817311458,-0.39220531987235185,-1.6117571697337185,"{'电力': 1245, '风电设备': 800, '元件': 410}",False,[],0.9619700886750067
2026-03-20,4795.802752515351,2757.22876703355,2038.5739854818014,-14.047690859681087,-0.2920608660302748,-0.3541809078315805,"{'电力': 1249, '风电设备': 789}",False,"[{'date': '2026-03-20', 'action': 'sell', 'reason': 'abs_mom_break(-2.7%)', 'sector': '元件', 'etf': '159997', 'amount': 402}]",0.9591605505030703
2026-03-23,4743.356375207512,4363.188969802939,380.16740540457323,-52.44637730783933,-1.093589123954919,-3.2629825413431623,{'风电设备': 380},False,"[{'date': '2026-03-23', 'action': 'sell', 'reason': 'market_crash', 'sector': '电力', 'etf': '159611', 'amount': 613}, {'date': '2026-03-23', 'action': 'sell', 'reason': 'market_crash', 'sector': '风电设备', 'etf': '516160', 'amount': 380}, {'date': '2026-03-23', 'action': 'sell', 'reason': 'abs_mom_break(-1.4%)', 'sector': '电力', 'etf': '159611', 'amount': 613}]",0.9486712750415025
2026-03-24,4753.234964421215,3089.2349644212154,1664.0,9.878589213702698,0.20826158593809652,1.2839528863419103,{'电力': 1664},True,"[{'date': '2026-03-24', 'action': 'sell', 'reason': 'rebalance', 'sector': '风电设备', 'etf': '516160', 'amount': 390}, {'date': '2026-03-24', 'action': 'buy', 'reason': 'rebalance', 'sector': '电力', 'etf': '159611', 'amount': 1664}]",0.950646992884243
2026-03-25,4815.228283982642,3089.2349644212154,1725.9933195614262,61.99331956142626,1.3042342746667712,1.4021876666304722,{'电力': 1726},False,[],0.9630456567965284
2026-03-26,4809.248420566289,3089.2349644212154,1720.0134561450732,-5.979863416352982,-0.12418649882591781,-1.320825324090602,{'电力': 1720},False,[],0.9618496841132577
2026-03-27,4795.977116838212,3089.2349644212154,1706.7421524169968,-13.271303728076314,-0.2759537991700145,0.5591470662199338,{'电力': 1707},False,[],0.9591954233676424
2026-03-30,4714.442497957098,3089.2349644212154,1625.2075335358825,-81.53461888111424,-1.700062717039541,-0.2358652947094586,{'电力': 1625},False,[],0.9428884995914195
2026-03-31,4671.707823173484,2942.707823173484,1729.0,-42.734674783613855,-0.9064629551030046,-0.9328020124890091,{'能源金属': 1729},True,"[{'date': '2026-03-31', 'action': 'sell', 'reason': 'rebalance', 'sector': '电力', 'etf': '159611', 'amount': 1582}, {'date': '2026-03-31', 'action': 'buy', 'reason': 'rebalance', 'sector': '能源金属', 'etf': '512400', 'amount': 1729}]",0.9343415646346968
2026-04-01,4667.455684297232,2942.707823173484,1724.7478611237489,-4.252138876251036,-0.09101893862367705,1.7082508529681295,{'能源金属': 1725},False,[],0.9334911368594465
2026-04-02,4680.3064983589875,2942.707823173484,1737.5986751855037,12.850814061754916,0.2753280358930743,-1.0418095887665846,{'能源金属': 1738},False,[],0.9360612996717975
2026-04-03,4649.129668966429,2942.707823173484,1706.421845792945,-31.17682939255856,-0.6661279427637945,-0.8512108069054225,{'能源金属': 1706},False,[],0.9298259337932857
2026-04-07,4658.35038619718,2942.707823173484,1715.6425630236968,9.220717230751653,0.19833211562803044,-0.0038957041192388964,{'能源金属': 1716},False,[],0.9316700772394361
