date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,regime,pos_cap
2026-02-02,5000.0,4500.0,500.0,0.0,0.0,-2.1324426199552216,{'光伏设备': 500},True,"[{'date': '2026-02-02', 'action': 'buy', 'reason': '调仓', 'sector': '光伏设备', 'etf': '515790', 'amount': 500}]",cash,10
2026-02-03,5033.5763027633375,4500.0,533.5763027633376,33.576302763337566,0.6715260552667468,1.1751462229536491,{'光伏设备': 534},False,[],defensive,30
2026-02-04,5061.201558533063,4500.0,561.2015585330623,27.62525576972476,0.548819648458676,0.8277921515535969,{'光伏设备': 561},False,[],defensive,30
2026-02-05,5031.390079295699,5031.390079295699,0.0,-29.811479237362636,-0.5890197988084878,-0.6015302585852256,{},False,"[{'date': '2026-02-05', 'action': 'sell', 'reason': '跌停(-5.3%)', 'sector': '光伏设备', 'etf': '515790', 'amount': 531}]",defensive,30
2026-02-06,5031.390079295699,5031.390079295699,0.0,0.0,0.0,-0.5743167797150561,{},False,[],defensive,30
2026-02-09,5031.390079295699,3522.3900792956993,1509.0,0.0,0.0,1.6250337023289818,"{'光伏设备': 1006, '通信设备': 503}",True,"[{'date': '2026-02-09', 'action': 'buy', 'reason': '调仓', 'sector': '光伏设备', 'etf': '515790', 'amount': 1006}, {'date': '2026-02-09', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 503}]",defensive,30
2026-02-10,5016.277897132861,3522.3900792956993,1493.8878178371617,-15.112182162838234,-0.3003579910256904,0.11103915698396083,"{'光伏设备': 990, '通信设备': 504}",False,[],defensive,30
2026-02-11,5002.858477826849,3522.3900792956993,1480.4683985311497,-13.419419306012186,-0.267517461775435,-0.2217684920673868,"{'光伏设备': 981, '通信设备': 499}",False,[],defensive,30
2026-02-12,5014.0084688300485,3522.3900792956993,1491.6183895343497,11.149991003200153,0.2228724048984665,0.1221727011580187,"{'光伏设备': 983, '通信设备': 509}",False,[],moderate,50
2026-02-13,4972.355821402694,3522.3900792956993,1449.9657421069946,-41.652647427355134,-0.8307255100642674,-1.2537561620975524,"{'光伏设备': 951, '通信设备': 499}",False,[],defensive,30
2026-02-24,4989.437963399232,2494.437963399232,2495.0,17.08214199653799,0.3435422284746803,1.0114569417342567,"{'半导体': 1663, '通信设备': 832}",True,"[{'date': '2026-02-24', 'action': 'sell', 'reason': '调仓', 'sector': '光伏设备', 'etf': '515790', 'amount': 959}, {'date': '2026-02-24', 'action': 'sell', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 508}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 1663}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 832}]",moderate,50
2026-02-25,5013.623856516852,2494.437963399232,2519.1858931176203,24.185893117620328,0.48474183455209374,0.6020549144097442,"{'半导体': 1689, '通信设备': 830}",False,[],moderate,50
2026-02-26,5061.915041250228,2494.437963399232,2567.4770778509956,48.29118473337515,0.9631991971357223,-0.19029174266442794,"{'半导体': 1718, '通信设备': 850}",False,[],moderate,50
2026-02-27,5053.937746204103,2494.437963399232,2559.499782804871,-7.977295046124718,-0.1575944080672409,-0.3432924169334717,"{'半导体': 1710, '通信设备': 850}",False,[],moderate,50
2026-03-02,5005.514145648222,2494.437963399232,2511.0761822489903,-48.42360055588062,-0.9581360710715248,0.38258014238807814,"{'半导体': 1665, '通信设备': 846}",False,[],moderate,50
