date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,in_market,pos_cap
2026-02-24,5000.0,1000.0,4000.0,0.0,0.0,1.0114569417342567,"{'半导体': 2000, '通信设备': 1333, '光伏设备': 667}",True,"[{'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 2000}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 1333}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '光伏设备', 'etf': '515790', 'amount': 667}]",True,80
2026-02-25,5033.4826044511465,1000.0,4033.482604451147,33.48260445114654,0.6696520890229207,0.6020549144097442,"{'半导体': 2031, '通信设备': 1330, '光伏设备': 672}",False,[],True,80
2026-02-26,5097.618509996939,1000.0,4097.618509996939,64.1359055457923,1.2741855010897751,-0.19029174266442794,"{'半导体': 2066, '通信设备': 1362, '光伏设备': 670}",False,[],True,80
2026-02-27,5103.530637543292,1000.0,4103.530637543292,5.912127546352842,0.11597822659263901,-0.3432924169334717,"{'半导体': 2056, '通信设备': 1362, '光伏设备': 686}",False,[],True,80
2026-03-02,5025.261213136192,1000.0,4025.261213136192,-78.26942440709993,-1.533632889970793,0.38258014238807814,"{'半导体': 2002, '通信设备': 1356, '光伏设备': 667}",False,[],True,80
2026-03-03,4827.4182953203435,4827.4182953203435,0.0,-197.84291781584852,-3.9369678395758,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 1875}, {'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 1296}, {'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '光伏设备', 'etf': '515790', 'amount': 656}]",False,0
2026-03-04,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-1.1441621548247571,{},False,[],False,0
2026-03-05,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.9791586323022239,{},False,[],False,0
2026-03-06,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.27426516214930086,{},False,[],False,0
2026-03-09,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.9652309578561225,{},False,[],False,0
2026-03-10,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,1.2848354062600542,{},True,[],False,0
2026-03-11,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.636182936606744,{},False,[],False,0
2026-03-12,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.3599960548377523,{},False,[],False,0
2026-03-13,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.3929549701763846,{},False,[],False,0
2026-03-16,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.051808255910068546,{},False,[],False,0
2026-03-17,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.7303771610291054,{},True,[],False,0
2026-03-18,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.4505288371448035,{},False,[],True,80
2026-03-19,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-1.6117571697337185,{},False,[],False,0
2026-03-20,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.3541809078315805,{},False,[],False,0
2026-03-23,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-3.2629825413431623,{},False,[],False,0
2026-03-24,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,1.2839528863419103,{},True,[],False,0
2026-03-25,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,1.4021876666304722,{},False,[],False,0
2026-03-26,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-1.320825324090602,{},False,[],False,0
2026-03-27,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,0.5591470662199338,{},False,[],False,0
2026-03-30,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.2358652947094586,{},False,[],False,0
2026-03-31,4827.4182953203435,4827.4182953203435,0.0,0.0,0.0,-0.9328020124890091,{},True,[],False,0
