date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,regime,pos_cap
2026-02-24,5000.0,2000.0,3000.0,0.0,0.0,1.0114569417342567,"{'半导体': 2000, '通信设备': 1000}",True,"[{'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 2000}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 1000}]",moderate,60
2026-02-25,5029.088493820724,2000.0,3029.088493820723,29.088493820723205,0.581769876414473,0.6020549144097442,"{'半导体': 2031, '通信设备': 998}",False,[],moderate,60
2026-02-26,5087.151373869381,2000.0,3087.1513738693816,58.06288004865851,1.1545408302120697,-0.19029174266442794,"{'半导体': 2066, '通信设备': 1021}",False,[],moderate,60
2026-02-27,5077.557481168679,2000.0,3077.5574811686793,-9.593892700702325,-0.1885906668706916,-0.3432924169334717,"{'半导体': 2056, '通信设备': 1021}",False,[],moderate,60
2026-03-02,5019.32361421297,2000.0,3019.3236142129695,-58.233866955709715,-1.1468873995357676,0.38258014238807814,"{'半导体': 2002, '通信设备': 1017}",False,[],moderate,60
2026-03-03,4847.475647980222,4847.475647980222,0.0,-171.84796623274795,-3.423727566521806,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': '跌停(-6.3%)', 'sector': '半导体', 'etf': '512480', 'amount': 1875}, {'date': '2026-03-03', 'action': 'sell', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 972}]",defensive,30
2026-03-04,4847.475647980222,4847.475647980222,0.0,0.0,0.0,-1.1441621548247571,{},False,[],defensive,30
2026-03-05,4847.475647980222,4847.475647980222,0.0,0.0,0.0,0.9791586323022239,{},False,[],defensive,30
2026-03-06,4847.475647980222,4847.475647980222,0.0,0.0,0.0,0.27426516214930086,{},False,[],defensive,30
2026-03-09,4847.475647980222,4847.475647980222,0.0,0.0,0.0,-0.9652309578561225,{},False,[],defensive,30
2026-03-10,4847.475647980222,3393.4756479802218,1454.0,0.0,0.0,1.2848354062600542,{'电力': 1454},True,"[{'date': '2026-03-10', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1454}]",defensive,30
2026-03-11,4876.52159191769,3393.4756479802218,1483.0459439374683,29.045943937468405,0.5991973151957986,0.636182936606744,{'电力': 1483},False,[],defensive,30
2026-03-12,4906.066446325367,3393.4756479802218,1512.5907983451455,29.544854407677036,0.6058591939107627,-0.3599960548377523,{'电力': 1513},False,[],defensive,30
2026-03-13,4869.172830494411,3393.4756479802218,1475.6971825141889,-36.89361583095671,-0.751999921619273,-0.3929549701763846,{'电力': 1476},False,[],defensive,30
2026-03-16,4836.699588544204,3393.4756479802218,1443.2239405639818,-32.47324195020692,-0.6669149582622214,0.051808255910068546,{'电力': 1443},False,[],defensive,30
2026-03-17,4825.3608990942275,3377.3608990942275,1448.0,-11.33868944997625,-0.2344303019528482,-0.7303771610291054,"{'电力': 724, '风电设备': 483, '元件': 241}",True,"[{'date': '2026-03-17', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1432}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 724}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 483}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '元件', 'etf': '159997', 'amount': 241}]",defensive,30
2026-03-18,4838.147019456698,3377.3608990942275,1460.7861203624707,12.786120362470616,0.26497749349423394,0.4505288371448035,"{'电力': 733, '风电设备': 479, '元件': 249}",False,[],defensive,30
2026-03-19,4826.972937208018,3377.3608990942275,1449.6120381137905,-11.174082248680067,-0.23095788953381158,-1.6117571697337185,"{'电力': 735, '风电设备': 473, '元件': 242}",False,[],defensive,30
2026-03-20,4818.680003803624,3377.3608990942275,1441.3191047093958,-8.292933404394816,-0.1718040169744861,-0.3541809078315805,"{'电力': 738, '风电设备': 466, '元件': 237}",False,[],defensive,30
2026-03-23,4771.893237041206,3598.515336670824,1173.3779003703817,-46.786766762417564,-0.9709457097272778,-3.2629825413431623,"{'电力': 724, '风电设备': 450}",False,"[{'date': '2026-03-23', 'action': 'sell', 'reason': '跌停(-6.7%)', 'sector': '元件', 'etf': '159997', 'amount': 221}]",cash,0
2026-03-24,4822.414338411838,4822.414338411838,0.0,50.5211013706315,1.0587223741400642,1.2839528863419103,{},True,"[{'date': '2026-03-24', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 763}, {'date': '2026-03-24', 'action': 'sell', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 461}]",cash,0
2026-03-25,4822.414338411838,4822.414338411838,0.0,0.0,0.0,1.4021876666304722,{},False,[],defensive,30
2026-03-26,4822.414338411838,4822.414338411838,0.0,0.0,0.0,-1.320825324090602,{},False,[],cash,0
2026-03-27,4822.414338411838,4822.414338411838,0.0,0.0,0.0,0.5591470662199338,{},False,[],defensive,30
2026-03-30,4822.414338411838,4822.414338411838,0.0,0.0,0.0,-0.2358652947094586,{},False,[],defensive,30
2026-03-31,4822.414338411838,3375.414338411838,1447.0,0.0,0.0,-0.9328020124890091,{'能源金属': 1447},True,"[{'date': '2026-03-31', 'action': 'buy', 'reason': '调仓', 'sector': '能源金属', 'etf': '512400', 'amount': 1447}]",defensive,30
