date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,port_cumulative,max_dd_sofar
2026-02-24,5000.0,2150.0,2850.0,0.0,0.0,1.0114569417342567,"{'半导体': 1900, '通信设备': 950}",True,"[{'date': '2026-02-24', 'action': 'buy', 'sector': '半导体', 'etf': '512480', 'amount': 1900}, {'date': '2026-02-24', 'action': 'buy', 'sector': '通信设备', 'etf': '515880', 'amount': 950}]",1.0,0.0
2026-02-25,5027.634069129686,2150.0,2877.634069129687,27.63406912968704,0.5526813825937227,0.6020549144097442,"{'半导体': 1930, '通信设备': 948}",False,[],1.0055268138259372,0.0
2026-02-26,5082.793805175912,2150.0,2932.7938051759124,55.159736046225596,1.0971310816933366,-0.19029174266442794,"{'半导体': 1962, '通信设备': 970}",False,[],1.0165587610351825,0.0
2026-02-27,5073.679607110245,2150.0,2923.6796071102453,-9.114198065667209,-0.1793147315239385,-0.3432924169334717,"{'半导体': 1953, '通信设备': 970}",False,[],1.014735921422049,-0.17931473152395233
2026-03-02,5018.35743350232,2150.0,2868.357433502321,-55.32217360792424,-1.0903757803389147,0.38258014238807814,"{'半导体': 1902, '通信设备': 966}",False,[],1.0036714867004641,-1.2677353074597473
2026-03-03,4855.10186558121,4855.10186558121,0.0,-163.25556792111058,-3.2531673975875752,-1.5389742864218237,{},True,"[{'date': '2026-03-03', 'action': 'sell', 'sector': '半导体', 'etf': '512480', 'amount': 1781}, {'date': '2026-03-03', 'action': 'sell', 'sector': '通信设备', 'etf': '515880', 'amount': 924}]",0.9710203731162421,-4.479661153337335
2026-03-04,4855.10186558121,4855.10186558121,0.0,0.0,0.0,-1.1441621548247571,{},False,[],0.9710203731162421,-4.479661153337335
2026-03-05,4855.10186558121,4855.10186558121,0.0,0.0,0.0,0.9791586323022239,{},False,[],0.9710203731162421,-4.479661153337335
2026-03-06,4855.10186558121,4855.10186558121,0.0,0.0,0.0,0.27426516214930086,{},False,[],0.9710203731162421,-4.479661153337335
2026-03-09,4855.10186558121,4855.10186558121,0.0,0.0,0.0,-0.9652309578561225,{},False,[],0.9710203731162421,-4.479661153337335
2026-03-10,4855.10186558121,1699.1018655812104,3156.0,0.0,0.0,1.2848354062600542,{'电力': 3156},True,"[{'date': '2026-03-10', 'action': 'buy', 'sector': '电力', 'etf': '159611', 'amount': 3156}]",0.9710203731162421,-4.479661153337335
2026-03-11,4918.147944719209,1699.1018655812104,3219.0460791379987,63.046079137998824,1.2985531690888896,0.636182936606744,{'电力': 3219},False,[],0.9836295889438418,-4.479661153337335
2026-03-12,4982.276940943851,1699.1018655812104,3283.17507536264,64.12899622464148,1.303925724591104,-0.3599960548377523,{'电力': 3283},False,[],0.9964553881887701,-4.479661153337335
2026-03-13,4902.196988012283,1699.1018655812104,3203.0951224310725,-80.07995293156766,-1.6072963000807627,-0.3929549701763846,{'电力': 3203},False,[],0.9804393976024567,-4.479661153337335
2026-03-16,4831.711739322563,1699.1018655812104,3132.609873741352,-70.4852486897201,-1.4378297906445514,0.051808255910068546,{'电力': 3133},False,[],0.9663423478645126,-4.93984362689802
