date,nav,cash,invested,daily_pnl,daily_return,index_return,positions,is_rebalance,trades,port_cumulative,vol_scale
2026-02-24,5000.0,2100.0,2900.0,0.0,0.0,1.0114569417342567,"{'半导体': 1933, '小金属': 967}",True,"[{'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '半导体', 'etf': '512480', 'amount': 1933}, {'date': '2026-02-24', 'action': 'buy', 'reason': '调仓', 'sector': '小金属', 'etf': '512400', 'amount': 967}]",1.0,0.8629671777824434
2026-02-25,5089.935643744266,2100.0,2989.9356437442652,89.93564374426519,1.798712874885311,0.6020549144097442,"{'半导体': 1963, '小金属': 1027}",False,[],1.017987128748853,0.8554563849347216
2026-02-26,5130.691614246878,2100.0,3030.691614246878,40.755970502612655,0.8007168136340503,-0.19029174266442794,"{'半导体': 1997, '小金属': 1034}",False,[],1.0261383228493757,0.8544046895842349
2026-02-27,5198.041278670683,2100.0,3098.041278670683,67.34966442380514,1.3126819830057368,-0.3432924169334717,"{'半导体': 1987, '小金属': 1111}",False,[],1.0396082557341366,0.8510684208114899
2026-03-02,5171.054841606165,2100.0,3071.0548416061647,-26.986437064518707,-0.5191655013447649,0.38258014238807814,"{'半导体': 1935, '小金属': 1136}",False,[],1.034210968321233,0.8531507759114759
2026-03-03,4971.401187095133,2883.4011870951326,2088.0,-199.65365451103133,-3.8609850528875556,-1.5389742864218237,"{'小金属': 1392, '贵金属': 696}",True,"[{'date': '2026-03-03', 'action': 'sell', 'reason': '跌停(-6.3%)', 'sector': '半导体', 'etf': '512480', 'amount': 1812}, {'date': '2026-03-03', 'action': 'sell', 'reason': '跌停(-6.8%)', 'sector': '小金属', 'etf': '512400', 'amount': 1059}, {'date': '2026-03-03', 'action': 'buy', 'reason': '调仓', 'sector': '小金属', 'etf': '512400', 'amount': 1392}, {'date': '2026-03-03', 'action': 'buy', 'reason': '调仓', 'sector': '贵金属', 'etf': '159934', 'amount': 696}]",0.9942802374190265,0.7934565085487701
2026-03-04,4956.304441296738,2883.4011870951326,2072.9032542016057,-15.096745798394169,-0.30367184683430803,-1.1441621548247571,"{'小金属': 1404, '贵金属': 669}",False,[],0.9912608882593477,0.768592746217226
2026-03-05,4912.958370491045,2883.4011870951326,2029.5571833959118,-43.346070805693984,-0.8745643315315133,0.9791586323022239,"{'小金属': 1377, '贵金属': 652}",False,[],0.9825916740982089,0.748172653969197
2026-03-06,4903.7827084122655,4253.832622650187,649.9500857620786,-9.175662078778657,-0.1867644988382433,0.27426516214930086,{'贵金属': 650},False,"[{'date': '2026-03-06', 'action': 'sell', 'reason': '动量为负(-6.1%)', 'sector': '小金属', 'etf': '512400', 'amount': 1370}]",0.9807565416824531,0.759679935676374
2026-03-09,4915.662387362656,4915.662387362656,0.0,11.87967895039035,0.24225541090985292,-0.9652309578561225,{},False,"[{'date': '2026-03-09', 'action': 'sell', 'reason': '动量为负(-7.7%)', 'sector': '贵金属', 'etf': '159934', 'amount': 662}]",0.9831324774725312,0.7609244479815395
2026-03-10,4915.662387362656,2654.662387362656,2261.0,0.0,0.0,1.2848354062600542,"{'电力': 1507, '通信设备': 754}",True,"[{'date': '2026-03-10', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1507}, {'date': '2026-03-10', 'action': 'buy', 'reason': '调仓', 'sector': '通信设备', 'etf': '515880', 'amount': 754}]",0.9831324774725312,0.8262141581243552
2026-03-11,4951.174385363314,2654.662387362656,2296.511998000658,35.5119980006581,0.7224254882099768,0.636182936606744,"{'电力': 1537, '通信设备': 759}",False,[],0.9902348770726629,0.8508179053985825
2026-03-12,4971.170201149218,2654.662387362656,2316.507813786562,19.99581578590408,0.4038600588380792,-0.3599960548377523,"{'电力': 1568, '通信设备': 749}",False,[],0.9942340402298436,0.865503177609787
2026-03-13,4918.272910938487,2654.662387362656,2263.610523575832,-52.89729021073019,-1.064081253916882,-0.3929549701763846,"{'电力': 1529, '通信设备': 734}",False,[],0.9836545821876974,0.8717254094736869
2026-03-16,4881.809904968943,2654.662387362656,2227.147517606287,-36.463005969544916,-0.7413782567544991,0.051808255910068546,"{'电力': 1496, '通信设备': 731}",False,[],0.9763619809937886,0.8825876044325032
2026-03-17,4835.621747361549,2175.621747361549,2660.0,-46.18815760739393,-0.9461277375913624,-0.7303771610291054,{'风电设备': 2660},True,"[{'date': '2026-03-17', 'action': 'sell', 'reason': '动量为负(-7.6%)', 'sector': '通信设备', 'etf': '515880', 'amount': 697}, {'date': '2026-03-17', 'action': 'sell', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1484}, {'date': '2026-03-17', 'action': 'buy', 'reason': '调仓', 'sector': '风电设备', 'etf': '516160', 'amount': 2660}]",0.9671243494723097,0.96284856910528
2026-03-18,4814.5495510720375,2175.621747361549,2638.9278037104887,-21.072196289511297,-0.43577015305237277,0.4505288371448035,{'风电设备': 2639},False,[],0.9629099102144075,0.9530481129918186
2026-03-19,4781.365098598851,2175.621747361549,2605.743351237302,-33.184452473186845,-0.6892535245752729,-1.6117571697337185,{'风电设备': 2606},False,[],0.9562730197197701,0.873848226117506
2026-03-20,4744.73262529883,4744.73262529883,0.0,-36.632473300020635,-0.7661509327274718,-0.3541809078315805,{},False,"[{'date': '2026-03-20', 'action': 'sell', 'reason': '动量为负(-5.5%)', 'sector': '风电设备', 'etf': '516160', 'amount': 2569}]",0.948946525059766,0.8748069206293823
2026-03-23,4744.73262529883,4744.73262529883,0.0,0.0,0.0,-3.2629825413431623,{},False,[],0.948946525059766,0.6959676155471258
2026-03-24,4744.73262529883,3510.7326252988296,1234.0,0.0,0.0,1.2839528863419103,{'电力': 1234},True,"[{'date': '2026-03-24', 'action': 'buy', 'reason': '调仓', 'sector': '电力', 'etf': '159611', 'amount': 1234}]",0.948946525059766,0.6844007987574975
